"global_id";"ObjectName";"NameWinter";"PhotoWinter";"AdmArea";"District";"Address";"Email";"WebSite";"HelpPhone";"HelpPhoneExtension";"WorkingHoursWinter";"ClarificationOfWorkingHoursWinter";"PropertyType";"DepartamentalAffiliationType";"HasEquipmentRental";"EquipmentRentalComments";"HasTechService";"TechServiceComments";"HasDressingRoom";"HasEatery";"HasToilet";"HasWifi";"HasCashMachine";"HasFirstAidPost";"HasMusic";"UsagePeriodWinter";"Status";"DimensionsWinter";"Lighting";"SurfaceTypeWinter";"Seats";"Paid";"PaidComments";"DisabilityFriendly";"ServicesWinter";"geoData";"geodata_center";"geoarea";
"global_id";"Название спортивного объекта";"Название спортивной зоны в зимний период";"Фотография в зимний период";"Административный округ";"Район";"Адрес";"Адрес электронной почты";"Адрес сайта";"Справочный телефон";"Добавочный номер";"График работы в зимний период";"Уточнение графика работы в зимний период";"Вид собственности";"Тип ведомственной принадлежности";"Возможность проката оборудования";"Комментарии для проката оборудования";"Наличие сервиса технического обслуживания";"Комментарии для сервиса технического обслуживания";"Наличие раздевалки";"Наличие точки питания";"Наличие туалета";"Наличие точки Wi-Fi";"Наличие банкомата";"Наличие медпункта";"Наличие звукового сопровождения";"Период эксплуатации в зимний период";"Статус функционирования";"Размеры в зимний период";"Освещение";"Покрытие в зимний период";"Количество оборудованных посадочных мест";"Форма посещения (платность)";"Комментарии к стоимости посещения";"Приспособленность для занятий инвалидов";"Услуги предоставляемые в зимний период";"geoData";"geodata_center";"geoarea";
"688502352";"Парк культуры и отдыха «Фили»";"каток с искусственным льдом, на улице Новозаводская";"77be984f-d78c-4501-9cf3-43cd73f823c2";"Западный административный округ";"район Филёвский Парк";"Большая Филёвская улица, дом 22, строение 2";"info@parkfili.com";"parkfili.com";"(499) 145-00-00";"";"понедельник 10:00-22:00,вторник 10:00-22:00,среда 10:00-22:00,четверг 10:00-22:00,пятница 10:00-22:00,суббота 10:00-22:00,воскресенье закрыто";"";"государственная региональная";"региональная";"да";"коньки ледовые для катания на коньках, прокат, 55 шт., платно, зима ";"нет";"";"нет";"да";"да";"да";"нет";"нет";"да";"01.12-15.03";"функционирует";"800 40 20   ";"освещение светодиодными лампами";"искусственный лед";"24";"бесплатно";"";"";"[общая физическая подготовка, хоккей]";"{""coordinates"":[37.4928064648888,55.7527357313701],""type"":""Point""}";"";"";
"688502707";"Открытый ледовый каток на Рассказовской улице";"каток с натуральным льдом";"c7ef2b8d-7594-4dc6-8e06-da016bbdfc32";"Западный административный округ";"район Внуково";"Рассказовская улица, дом 31";"uprava-vnukovo@mos.ru";"vnukovo.mos.ru";"(495) 436-21-77";"";"понедельник 09:00-23:00,вторник 09:00-23:00,среда 09:00-23:00,четверг 09:00-23:00,пятница 09:00-23:00,суббота 09:00-23:00,воскресенье 09:00-23:00";"";"государственная региональная";"региональная";"да";"коньки ледовые для катания на коньках, прокат, 15 шт., зима ";"нет";"";"да";"нет";"да";"нет";"нет";"нет";"да";"01.12-31.03";"функционирует";"800 40 20   ";"освещение светодиодными лампами";"натуральный лед";"0";"бесплатно";"";"";"[общая физическая подготовка, хоккей]";"{""coordinates"":[37.3108022686707,55.6128291832875],""type"":""Point""}";"";"";
"688503029";"Парк, озелененная городская территория «Перовский»";"каток с натуральным льдом";"1149a5c6-c9fc-46ab-b58a-a4d0eab93d17";"Восточный административный округ";"район Перово";"улица Лазо, дом 7";"ppkio@mail.ru";"www.perovskiy-park.ru";"(495) 309-53-42";"";"понедельник 10:00-22:00,вторник 10:00-22:00,среда 10:00-22:00,четверг 10:00-22:00,пятница 10:00-22:00,суббота 10:00-22:00,воскресенье закрыто";"";"государственная региональная";"региональная";"нет";"";"да";"";"нет";"да";"да";"да";"нет";"нет";"да";"01.12-31.03";"функционирует";"800 40 20   ";"освещение лампами накаливания";"натуральный лед";"0";"бесплатно";"";"";"[общая физическая подготовка, хоккей]";"{""coordinates"":[37.7775170251888,55.7412955072855],""type"":""Point""}";"";"";
"688503040";"Плоскостное спортивное сооружение";"каток с натуральным льдом";"16f90349-872e-48ce-80f7-ebe781f449a6";"Западный административный округ";"район Очаково-Матвеевское";"улица Наташи Ковшовой, дом 14, строение 1";"ochakovo-Uprava@mos.ru";"ochakovo.mos.ru/";"(495) 437-99-27";"";"понедельник 07:00-23:00,вторник 07:00-23:00,среда 07:00-23:00,четверг 07:00-23:00,пятница 07:00-23:00,суббота 07:00-23:00,воскресенье 07:00-23:00";"";"государственная региональная";"региональная";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"да";"нет";"01.12-31.03";"функционирует";"800 40 20   ";"освещение газоразрядными лампами";"натуральный лед";"0";"бесплатно";"";"";"[общая физическая подготовка, хоккей]";"{""coordinates"":[37.4468096795502,55.6804069860193],""type"":""Point""}";"";"";
"688503116";"Дворовая территория";"каток с искусственным льдом";"0a2e2aeb-8437-42af-a584-803c997fdf43";"Северный административный округ";"район Западное Дегунино";"Талдомская улица, дом 2";"gby-zd@pnao.mos.ru";"gbuzdegunino.ru";"(499) 488-42-31";"";"понедельник 09:00-23:00,вторник 09:00-23:00,среда 09:00-23:00,четверг 09:00-23:00,пятница 09:00-23:00,суббота 09:00-23:00,воскресенье закрыто";"";"государственная региональная";"региональная";"да";"коньки ледовые для катания на коньках, прокат, платно, зима ";"да";"";"да";"да";"да";"нет";"нет";"да";"нет";"01.12-31.03";"функционирует";"800 40 20   ";"смешанное освещение";"искусственный лед";"0";"бесплатно";"";"";"[общая физическая подготовка, хоккей]";"{""coordinates"":[37.520184244215,55.8690377261258],""type"":""Point""}";"";"";
"688503118";"Дворовая территория";"каток с искусственным льдом";"996469eb-8548-4902-922e-2f9b90f2eb90";"Северный административный округ";"район Западное Дегунино";"улица Маршала Федоренко, дом 2, корпус 1";"gby-zd@pnao.mos.ru";"gbuzdegunino.ru";"(499) 488-99-54";"";"понедельник 09:00-23:00,вторник 09:00-23:00,среда 09:00-23:00,четверг 09:00-23:00,пятница 09:00-23:00,суббота 09:00-23:00,воскресенье закрыто";"";"государственная региональная";"региональная";"да";"коньки ледовые для катания на коньках, прокат, платно, зима ";"да";"";"да";"да";"да";"нет";"нет";"да";"нет";"01.12-31.03";"функционирует";"800 40 20   ";"смешанное освещение";"искусственный лед";"0";"бесплатно";"";"";"[общая физическая подготовка, хоккей]";"{""coordinates"":[37.4941965469082,55.8781646189679],""type"":""Point""}";"";"";
"688505151";"Дворовая территория";"каток с натуральным льдом";"9f7f7f75-ee34-4291-8769-3a7ba69f38a0";"Новомосковский административный округ";"поселение Щербинка";"город Щербинка, улица Авиаторов, дом 8";"scherbinka@mos.ru";"scherbinka-mo.ru";"(495) 867-00-53";"";"понедельник 08:00-22:00,вторник 08:00-22:00,среда 08:00-22:00,четверг 08:00-22:00,пятница 08:00-22:00,суббота 08:00-22:00,воскресенье закрыто";"";"муниципальная";"отсутствует";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.12-31.03";"функционирует";"800 40 20   ";"освещение лампами накаливания";"натуральный лед";"0";"бесплатно";"";"";"[общая физическая подготовка, хоккей]";"{""coordinates"":[37.5315981988084,55.5116880487719],""type"":""Point""}";"";"";
"688505307";"Спортивный комплекс образовательного учреждения";"каток с натуральным льдом";"73f040f2-7c3d-485b-895f-1ef0c6ff428c";"Южный административный округ";"район Зябликово";"Шипиловская улица, дом 46, корпус 3";"1569@edu.mos.ru";"gym1569u.mskobr.ru";"(495) 390-02-28";"";"понедельник 09:00-21:00,вторник 09:00-21:00,среда 09:00-21:00,четверг 09:00-21:00,пятница 09:00-21:00,суббота 09:00-21:00,воскресенье закрыто";"";"государственная региональная";"региональная";"нет";"";"нет";"нет";"да";"нет";"да";"нет";"нет";"нет";"нет";"01.12-31.03";"функционирует";"800 40 20   ";"без дополнительного освещения";"натуральный лед";"0";"бесплатно";"";"";"[общая физическая подготовка, хоккей]";"{""coordinates"":[37.736419588036,55.618919025304],""type"":""Point""}";"";"";
"688505595";"Дворовая территория";"каток с искусственным льдом";"75286f13-cc0a-4f4c-9617-9413f79e6361";"Восточный административный округ";"район Вешняки";"Вешняковская улица, дом 16Г";"vesh@mos.ru";"veshnyaki.mos.ru";"(495) 770-09-42";"";"понедельник 13:00-22:00,вторник 10:00-22:00,среда 10:00-22:00,четверг 10:00-22:00,пятница 10:00-22:00,суббота 10:00-22:00,воскресенье закрыто";"";"государственная региональная";"региональная";"да";"коньки ледовые для катания на коньках, прокат, платно, зима ";"нет";"";"да";"нет";"да";"нет";"нет";"нет";"да";"01.12-31.03";"функционирует";"800 40 20   ";"смешанное освещение";"искусственный лед";"0";"бесплатно";"";"";"[общая физическая подготовка, хоккей]";"{""coordinates"":[37.826269676321,55.7266255573883],""type"":""Point""}";"";"";
"707713551";"Парк, озелененная городская территория «Парк Дюссельдорфский»";"каток с натуральным льдом";"86e7df33-8754-4475-bb51-7b14a98bc7f9";"Юго-Восточный административный округ";"район Марьино";"Новомарьинская улица, дом 36, корпус 1";"marino@mos.ru";"marino.mos.ru";"(495) 646-75-74";"";"понедельник 10:00-22:00,вторник 10:00-22:00,среда 10:00-22:00,четверг 10:00-22:00,пятница 10:00-22:00,суббота 10:00-22:00,воскресенье закрыто";"";"государственная региональная";"региональная";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"15.12-31.03";"функционирует";"1590 53 30   ";"смешанное освещение";"натуральный лед";"0";"бесплатно";"";"";"[общая физическая подготовка, хоккей]";"{""coordinates"":[37.7688859640828,55.6602658358177],""type"":""Point""}";"";"";
"798126790";"Государственное автономное учреждение культуры города Москвы «Центральный парк культуры и отдыха имени М. Горького»";"каток с искусственным льдом №1";"6e0e1e32-a505-4856-8aeb-4fa27d2fe9e5";"Центральный административный округ";"район Якиманка";"улица Крымский Вал, дом 9, строение 1";"official@park-gorkogo.com";"www.park-gorkogo.com";"(495) 995-00-20";"";"понедельник закрыто,вторник 10:00-23:00,среда 10:00-23:00,четверг 10:00-23:00,пятница 10:00-23:55,суббота 10:00-23:55,воскресенье закрыто";"";"государственная региональная";"региональная";"да";"коньки ледовые для катания на коньках, прокат, 500 шт., платно, зима ";"да";"";"да";"да";"да";"да";"нет";"да";"да";"26.11-09.03";"функционирует";"2250 75 30   ";"смешанное освещение";"искусственный лед";"0";"платно";"";"";"[общая физическая подготовка, хоккей]";"{""coordinates"":[37.5988586586588,55.7289648393624],""type"":""Point""}";"";"";
"901537274";"Дворовая территория";"каток с искусственным льдом";"9b47027c-17d1-4e77-8abe-b857aa5ed730";"Юго-Восточный административный округ";"район Лефортово";"Боровая улица, дом 7, строение 4";"lefortovo@list.ru";"lefortovo.mos.ru";"(495) 361-17-84";"";"понедельник 09:00-22:00,вторник 09:00-22:00,среда 09:00-22:00,четверг 09:00-22:00,пятница 09:00-22:00,суббота 09:00-22:00,воскресенье закрыто";"";"государственная региональная";"региональная";"да";"коньки ледовые для катания на коньках, прокат, платно, зима ";"да";"";"да";"нет";"да";"нет";"нет";"нет";"да";"01.12-31.03";"функционирует";"1140 57 20   ";"смешанное освещение";"искусственный лед";"0";"бесплатно";"";"";"[общая физическая подготовка, хоккей]";"{""coordinates"":[37.7179445688389,55.7670068460446],""type"":""Point""}";"";"";
"901538381";"Дворовая территория";"каток с натуральным льдом";"ec7b4e87-54e0-455e-afdc-1de7dbecbaee";"Троицкий административный округ";"поселение Киевский";"рабочий посёлок Киевский, дом 1, строение 1";"a@kievskiy.ru";"kievskiy.org";"(495) 846-31-37";"";"понедельник 08:00-22:00,вторник 08:00-22:00,среда 08:00-22:00,четверг 08:00-22:00,пятница 08:00-22:00,суббота 08:00-22:00,воскресенье 08:00-22:00";"";"муниципальная";"отсутствует";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.12-31.03";"функционирует";"700 35 20   ";"освещение лампами накаливания";"натуральный лед";"0";"бесплатно";"";"";"[общая физическая подготовка, хоккей]";"{""coordinates"":[36.8678395132446,55.4214995777817],""type"":""Point""}";"";"";
